name,dayOfWeek,opens_time,closes_time
四鄉五島馬祖麵,Thursday,10:00,23:59
四鄉五島馬祖麵,Friday,10:00,23:59
四鄉五島馬祖麵,Saturday,10:00,23:59
四鄉五島馬祖麵,Sunday,10:00,23:59
豚花韓式料理,Monday,14:00,23:59
豚花韓式料理,Tuesday,14:00,23:59
豚花韓式料理,Wednesday,14:00,23:59
豚花韓式料理,Thursday,14:00,23:59
豚花韓式料理,Friday,14:00,23:59
豚花韓式料理,Saturday,14:00,23:59
豚花韓式料理,Sunday,14:00,23:59
市民大道涮涮鍋 (松山東興店),Monday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Tuesday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Wednesday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Thursday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Friday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Saturday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Sunday,00:00,04:00
市民大道涮涮鍋 (松山東興店),Monday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Tuesday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Wednesday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Thursday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Friday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Saturday,17:00,23:59
市民大道涮涮鍋 (松山東興店),Sunday,17:00,23:59
深夜未歸 (台北永春店),Monday,00:00,23:59
深夜未歸 (台北永春店),Tuesday,00:00,23:59
深夜未歸 (台北永春店),Wednesday,00:00,23:59
深夜未歸 (台北永春店),Thursday,00:00,23:59
深夜未歸 (台北永春店),Friday,00:00,23:59
深夜未歸 (台北永春店),Saturday,00:00,23:59
深夜未歸 (台北永春店),Sunday,00:00,23:59
丐幫滷味 (台北信義分舵),Monday,16:00,23:59
丐幫滷味 (台北信義分舵),Tuesday,16:00,23:59
丐幫滷味 (台北信義分舵),Wednesday,16:00,23:59
丐幫滷味 (台北信義分舵),Thursday,16:00,23:59
丐幫滷味 (台北信義分舵),Friday,16:00,23:59
丐幫滷味 (台北信義分舵),Saturday,16:00,23:59
丐幫滷味 (台北信義分舵),Sunday,16:00,23:59
Fun rice 放飯 (台北松信店),Monday,10:00,23:59
Fun rice 放飯 (台北松信店),Tuesday,10:00,23:59
Fun rice 放飯 (台北松信店),Wednesday,10:00,23:59
Fun rice 放飯 (台北松信店),Thursday,10:00,23:59
Fun rice 放飯 (台北松信店),Friday,10:00,23:59
Fun rice 放飯 (台北松信店),Saturday,10:00,23:59
Fun rice 放飯 (台北松信店),Sunday,10:00,23:59
Fun rice 放飯 (台北松信店),Monday,00:00,03:00
Fun rice 放飯 (台北松信店),Tuesday,00:00,03:00
Fun rice 放飯 (台北松信店),Wednesday,00:00,03:00
Fun rice 放飯 (台北松信店),Thursday,00:00,03:00
Fun rice 放飯 (台北松信店),Friday,00:00,03:00
Fun rice 放飯 (台北松信店),Saturday,00:00,03:00
Fun rice 放飯 (台北松信店),Sunday,00:00,03:00
胖老爹美式炸雞 (松山五分埔店),Monday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Tuesday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Wednesday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Thursday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Friday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Saturday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Sunday,17:00,23:59
胖老爹美式炸雞 (松山五分埔店),Monday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Tuesday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Wednesday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Thursday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Friday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Saturday,00:00,02:15
胖老爹美式炸雞 (松山五分埔店),Sunday,00:00,02:15
麥當勞 (S302 台北南京影城店),Monday,10:30,23:30
麥當勞 (S302 台北南京影城店),Tuesday,10:30,23:30
麥當勞 (S302 台北南京影城店),Wednesday,10:30,23:30
麥當勞 (S302 台北南京影城店),Thursday,10:30,23:30
麥當勞 (S302 台北南京影城店),Friday,10:30,23:30
麥當勞 (S302 台北南京影城店),Saturday,10:30,23:30
麥當勞 (S302 台北南京影城店),Sunday,10:30,23:30
麥當勞 (S302 台北南京影城店),Monday,05:00,10:00
麥當勞 (S302 台北南京影城店),Tuesday,05:00,10:00
麥當勞 (S302 台北南京影城店),Wednesday,05:00,10:00
麥當勞 (S302 台北南京影城店),Thursday,05:00,10:00
麥當勞 (S302 台北南京影城店),Friday,05:00,10:00
麥當勞 (S302 台北南京影城店),Saturday,05:00,10:00
麥當勞 (S302 台北南京影城店),Sunday,05:00,10:00
豆麻麻雞排店,Tuesday,18:00,23:59
豆麻麻雞排店,Wednesday,18:00,23:59
豆麻麻雞排店,Thursday,18:00,23:59
